session,exercise,target_precision,precision_dda,correct_fraction,idm_before,idm_actual,idm_after,trigger,consec_errors,seq_length,S_leaps,C_contour,d_bar,X_chrom,n_chunks,intervals_used,sequence_notes
1,1,0.85,1.000,1.000,2.00,2.73,2.00,none,0,3,0,0.00,1.00,0.33,2,M2a|m2a,D#4 F4 F#4
1,2,0.85,1.000,1.000,2.00,2.73,2.00,none,0,3,0,0.00,1.00,0.33,2,M2a|m2a,B3 C#4 D4
1,3,0.85,1.000,1.000,2.00,2.73,2.50,mastery,0,3,0,0.00,1.00,0.33,2,M2a|m2a,D4 E4 F4
1,4,0.85,1.000,1.000,2.50,2.73,3.00,mastery,0,3,0,0.00,1.00,0.33,2,M2a|m2a,G3 A3 A#3
1,5,0.85,1.000,1.000,3.00,2.40,3.50,mastery,0,4,0,0.00,1.00,0.00,2,M2a|M2a|m2a,A#3 C4 D4 D#4
1,6,0.85,1.000,1.000,3.50,2.60,4.00,mastery,0,5,0,0.00,1.00,0.00,3,M2a|M2a|m2a|M2a,D4 E4 F#4 G4 A4
1,7,0.85,0.250,0.333,4.00,2.73,3.50,overload,0,3,0,0.00,1.00,0.33,2,m2a|m2a,G3 G#3 A3
1,8,0.85,0.667,0.800,3.50,2.60,3.50,none,0,5,0,0.00,1.00,0.00,3,M2a|M2a|m2a|M2a,B3 C#4 D#4 E4 F#4
2,1,0.85,0.500,0.667,3.50,4.40,3.50,none,1,3,2,0.00,1.00,0.00,2,P4a|P5a,G#3 C#4 G#4
2,2,0.85,1.000,1.000,3.50,4.40,3.50,none,0,3,2,0.00,1.00,0.00,2,P4a|P5a,A3 D4 A4
2,3,0.85,1.000,1.000,3.50,4.40,3.50,none,0,3,2,0.00,1.00,0.00,2,P4a|P5a,A3 D4 A4
2,4,0.85,1.000,1.000,3.50,4.40,4.00,mastery,0,3,2,0.00,1.00,0.00,2,P5a|P4a,B3 F#4 B4
2,5,0.85,1.000,1.000,4.00,4.40,4.50,mastery,0,3,2,0.00,1.00,0.00,2,P4a|P5a,G#3 C#4 G#4
2,6,0.85,0.800,0.667,4.50,4.40,5.00,mastery,0,3,2,0.00,1.00,0.00,2,P5a|P4a,A3 E4 A4
2,7,0.85,1.000,1.000,5.00,4.40,5.50,mastery,0,3,2,0.00,1.00,0.00,2,P5a|P5a,A3 E4 B4
2,8,0.85,1.000,1.000,5.50,4.40,6.00,mastery,0,3,2,0.00,1.00,0.00,2,P4a|P5a,G3 C4 G4
3,1,0.85,0.889,0.889,6.00,5.61,6.50,mastery,1,9,2,0.38,1.19,0.44,3,M2d|P8a|M2d|M2d|M2d|M2d|M2d|P8a,B3 A3 A4 G4 F4 D#4 C#4 B3 B4
3,2,0.85,0.800,0.889,6.50,5.73,7.00,mastery,0,9,2,0.50,1.19,0.44,3,M2d|P8a|M2d|M2d|M2d|M2d|P8a|M2d,A3 G3 G4 F4 D#4 C#4 B3 B4 A4
3,3,0.85,0.889,0.889,7.00,5.73,7.50,mastery,0,9,2,0.50,1.19,0.44,3,M2d|P8a|M2d|M2d|M2d|P8a|M2d|M2d,G3 F3 F4 D#4 C#4 B3 B4 A4 G4
3,4,0.85,1.000,1.000,7.50,5.78,8.00,mastery,0,8,2,0.43,1.18,0.38,4,P8a|M2d|M2d|M2d|M2d|P8a|M2d,G3 G4 F4 D#4 C#4 B3 B4 A4
3,5,0.85,0.750,0.818,8.00,6.04,8.00,none,0,11,2,0.40,1.20,0.64,4,M2d|P8a|M2d|M2d|M2d|M2d|M2d|M2d|P8a|M2d,C4 A#3 A#4 G#4 F#4 E4 D4 C4 A#3 A#4 G#4
3,6,0.85,1.000,1.000,8.00,6.05,8.00,none,0,8,2,0.57,1.18,0.50,4,M2d|P8a|M2d|M2d|M2d|P8a|M2d,G3 F3 F4 D#4 C#4 B3 B4 A4
3,7,0.85,1.000,1.000,8.00,6.03,8.00,none,0,12,2,0.36,1.20,0.67,4,M2d|P8a|M2d|M2d|M2d|M2d|M2d|M2d|P8a|M2d|M2d,C#4 B3 B4 A4 G4 F4 D#4 C#4 B3 B4 A4 G4
3,8,0.85,0.833,0.909,8.00,6.04,8.50,mastery,0,11,2,0.40,1.20,0.64,4,M2d|P8a|M2d|M2d|M2d|M2d|M2d|M2d|P8a|M2d,C#4 B3 B4 A4 G4 F4 D#4 C#4 B3 B4 A4
