session,exercise,target_precision,precision_dda,correct_fraction,idm_before,idm_actual,idm_after,trigger,consec_errors,seq_length,S_leaps,C_contour,d_bar,X_chrom,n_chunks,intervals_used,sequence_notes
1,1,0.65,0.500,0.667,2.00,2.73,2.00,none,0,3,0,0.00,1.00,0.33,2,M2a|m2a,D#4 F4 F#4
1,2,0.65,1.000,1.000,2.00,2.73,2.00,none,0,3,0,0.00,1.00,0.33,2,M2a|m2a,A#3 C4 C#4
1,3,0.65,0.750,0.750,2.00,2.40,2.00,none,1,4,0,0.00,1.00,0.00,2,M2a|M2a|m2a,B3 C#4 D#4 E4
1,4,0.65,0.500,0.667,2.00,2.73,2.00,none,0,3,0,0.00,1.00,0.33,2,M2a|m2a,D4 E4 F4
1,5,0.65,1.000,1.000,2.00,3.07,2.00,none,0,3,0,0.00,1.00,0.67,2,m2a|M2a,D4 D#4 F4
1,6,0.65,0.250,0.333,2.00,3.07,1.50,overload,1,3,0,0.00,1.00,0.67,2,m2a|M2a,C4 C#4 D#4
1,7,0.65,1.000,1.000,1.50,2.40,1.50,none,0,4,0,0.00,1.00,0.00,2,M2a|M2a|m2a,C4 D4 E4 F4
1,8,0.65,0.500,0.667,1.50,2.73,1.50,none,1,3,0,0.00,1.00,0.33,2,M2a|m2a,C4 D4 D#4
2,1,0.65,0.500,0.667,1.50,2.40,1.50,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,B3 C#4 D#4
2,2,0.65,0.250,0.333,1.50,2.40,1.00,overload,1,3,0,0.00,1.00,0.00,2,M2a|M2a,A#3 C4 D4
2,3,0.65,0.667,0.667,1.00,2.40,1.00,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,G3 A3 B3
2,4,0.65,0.200,0.333,1.00,2.40,1.00,overload,1,3,0,0.00,1.00,0.00,2,M2a|M2a,B3 C#4 D#4
2,5,0.65,0.667,0.667,1.00,2.40,1.00,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,G3 A3 B3
2,6,0.65,1.000,1.000,1.00,2.40,1.00,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,A3 B3 C#4
2,7,0.65,0.500,0.667,1.00,2.40,1.00,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,G3 A3 B3
2,8,0.65,1.000,1.000,1.00,2.40,1.00,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,C4 D4 E4
3,1,0.65,0.500,0.667,1.00,2.40,1.00,none,1,3,0,0.00,1.00,0.00,2,M2a|M2a,D4 E4 F#4
3,2,0.65,0.667,0.667,1.00,2.40,1.00,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,C4 D4 E4
3,3,0.65,1.000,1.000,1.00,2.40,1.00,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,A3 B3 C#4
3,4,0.65,0.500,0.667,1.00,2.40,1.00,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,C4 D4 E4
3,5,0.65,0.500,0.667,1.00,2.40,1.00,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,G#3 A#3 C4
3,6,0.65,0.250,0.333,1.00,2.40,1.00,overload,1,3,0,0.00,1.00,0.00,2,M2a|M2a,C#4 D#4 F4
3,7,0.65,0.500,0.667,1.00,2.40,1.00,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,A3 B3 C#4
3,8,0.65,0.500,0.667,1.00,2.40,1.00,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,A#3 C4 D4
