session,exercise,target_precision,precision_dda,correct_fraction,idm_before,idm_actual,idm_after,trigger,consec_errors,seq_length,S_leaps,C_contour,d_bar,X_chrom,n_chunks,intervals_used,sequence_notes
1,1,0.50,0.500,0.667,2.00,2.73,2.00,none,0,3,0,0.00,1.00,0.33,2,M2a|m2a,D#4 F4 F#4
1,2,0.50,1.000,1.000,2.00,2.73,2.00,none,0,3,0,0.00,1.00,0.33,2,M2a|m2a,A#3 C4 C#4
1,3,0.50,0.400,0.500,2.00,2.40,2.00,none,0,4,0,0.00,1.00,0.00,2,M2a|M2a|m2a,B3 C#4 D#4 E4
1,4,0.50,1.000,1.000,2.00,2.40,2.00,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,G#3 A#3 C4
1,5,0.50,0.000,0.000,2.00,2.73,1.50,overload,3,3,0,0.00,1.00,0.33,2,m2a|m2a,C4 C#4 D4
1,6,0.50,1.000,1.000,1.50,2.40,1.50,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,A3 B3 C#4
1,7,0.50,0.500,0.500,1.50,2.40,1.50,none,0,4,0,0.00,1.00,0.00,2,M2a|M2a|m2a,C4 D4 E4 F4
1,8,0.50,0.600,0.750,1.50,2.40,1.50,none,0,4,0,0.00,1.00,0.00,2,M2a|M2a|m2a,G#3 A#3 C4 C#4
2,1,0.80,1.000,1.000,1.50,2.40,1.50,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,C#4 D#4 F4
2,2,0.80,0.500,0.667,1.50,2.40,1.50,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,C4 D4 E4
2,3,0.80,1.000,1.000,1.50,2.40,1.50,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,C#4 D#4 F4
2,4,0.80,0.500,0.667,1.50,2.40,1.50,none,1,3,0,0.00,1.00,0.00,2,M2a|M2a,B3 C#4 D#4
2,5,0.80,1.000,1.000,1.50,2.40,1.50,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,C4 D4 E4
2,6,0.80,1.000,1.000,1.50,2.40,1.50,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,E4 F#4 G#4
2,7,0.80,1.000,1.000,1.50,2.40,2.00,mastery,0,3,0,0.00,1.00,0.00,2,M2a|M2a,G3 A3 B3
2,8,0.80,1.000,1.000,2.00,2.40,2.50,mastery,0,3,0,0.00,1.00,0.00,2,M2a|M2a,A#3 C4 D4
3,1,0.50,0.200,0.333,2.50,3.32,2.00,overload,2,3,0,0.00,1.25,0.67,2,M2d|M2d,A3 G3 F3
3,2,0.50,0.333,0.333,2.00,3.32,1.50,overload,1,3,0,0.00,1.25,0.67,2,M2d|M2d,C#4 B3 A3
3,3,0.50,0.667,0.667,1.50,3.32,1.50,none,1,3,0,0.00,1.25,0.67,2,M2d|M2d,A#3 G#3 F#3
3,4,0.50,0.667,0.667,1.50,3.32,1.50,none,0,3,0,0.00,1.25,0.67,2,M2d|M2d,D#4 C#4 B3
3,5,0.50,1.000,1.000,1.50,3.32,1.50,none,0,3,0,0.00,1.25,0.67,2,M2d|M2d,A#3 G#3 F#3
3,6,0.50,1.000,1.000,1.50,3.32,1.50,none,0,3,0,0.00,1.25,0.67,2,M2d|M2d,D#4 C#4 B3
3,7,0.50,1.000,1.000,1.50,3.32,2.00,mastery,0,3,0,0.00,1.25,0.67,2,M2d|M2d,G3 F3 D#3
3,8,0.50,0.200,0.333,2.00,3.32,1.50,overload,0,3,0,0.00,1.25,0.67,2,M2d|M2d,C#4 B3 A3
