session,exercise,target_precision,precision_dda,correct_fraction,idm_before,idm_actual,idm_after,trigger,consec_errors,seq_length,S_leaps,C_contour,d_bar,X_chrom,n_chunks,intervals_used,sequence_notes
1,1,0.85,0.500,0.667,2.00,2.65,2.00,none,0,3,0,0.00,1.25,0.00,2,m2d|M2d,A3 G#3 F#3
1,2,0.85,1.000,1.000,2.00,2.82,2.00,none,0,4,0,0.33,1.08,0.00,2,m2d|m2a|M2a,G3 F#3 G3 A3
1,3,0.85,0.500,0.667,2.00,3.02,2.00,none,0,3,0,0.50,1.13,0.00,2,M2a|M2d,G3 A3 G3
1,4,0.85,0.600,0.750,2.00,2.90,2.00,none,1,4,0,0.33,1.17,0.00,2,M2a|M2d|m2d,D4 E4 D4 C#4
1,5,0.85,1.000,1.000,2.00,3.02,2.00,none,0,3,0,0.50,1.13,0.00,2,m2d|m2a,D4 C#4 D4
1,6,0.85,1.000,1.000,2.00,2.65,2.00,none,0,3,0,0.00,1.25,0.00,2,m2d|M2d,A#3 A3 G3
1,7,0.85,1.000,1.000,2.00,3.02,2.50,mastery,0,3,0,0.50,1.13,0.00,2,M2a|M2d,A#3 C4 A#3
1,8,0.85,1.000,1.000,2.50,3.36,3.00,mastery,0,3,0,0.50,1.13,0.33,2,m2a|M2d,D#4 E4 D4
2,1,0.85,1.000,1.000,3.00,3.02,3.50,mastery,0,3,0,0.50,1.13,0.00,2,M2a|M2d,E4 F#4 E4
2,2,0.85,1.000,1.000,3.50,3.91,4.00,mastery,0,5,1,0.25,1.06,0.00,3,M2a|P4a|M2a|M2d,C4 D4 G4 A4 G4
2,3,0.85,0.600,0.600,4.00,4.16,4.00,none,1,5,1,0.50,1.06,0.00,3,P4a|M2a|M2d|M2a,A#3 D#4 F4 D#4 F4
2,4,0.85,1.000,1.000,4.00,4.03,4.00,none,0,3,1,0.50,1.13,0.00,2,P4d|M2a,A#3 F3 G3
2,5,0.85,1.000,1.000,4.00,4.16,4.00,none,0,5,1,0.50,1.06,0.00,3,P4a|M2a|M2d|M2a,C#4 F#4 G#4 F#4 G#4
2,6,0.85,1.000,1.000,4.00,4.03,4.50,mastery,0,3,1,0.50,1.13,0.00,2,M2a|P4d,G#3 A#3 F3
2,7,0.85,0.667,0.800,4.50,4.16,4.50,none,0,5,1,0.50,1.06,0.00,3,M2a|P4a|M2d|M2a,D#4 F4 A#4 G#4 A#4
2,8,0.85,1.000,1.000,4.50,5.16,4.50,none,0,5,2,0.50,1.06,0.00,3,P4a|M2a|P4d|M2a,E4 A4 B4 F#4 G#4
3,1,0.85,1.000,1.000,4.50,4.65,4.50,none,0,4,1,0.33,1.17,0.75,2,M2d|M2d|P8a,D#4 C#4 B3 B4
3,2,0.85,1.000,1.000,4.50,3.40,5.00,mastery,0,4,0,0.00,1.25,0.75,2,M2d|M2d|M2d,E4 D4 C4 A#3
3,3,0.85,1.000,1.000,5.00,4.98,5.50,mastery,0,4,1,0.67,1.17,0.75,2,M2d|P8a|M2d,C4 A#3 A#4 G#4
3,4,0.85,1.000,1.000,5.50,4.98,6.00,mastery,0,4,1,0.67,1.17,0.75,2,M2d|P8a|M2d,G#3 F#3 F#4 E4
3,5,0.85,1.000,1.000,6.00,5.73,6.50,mastery,0,9,2,0.50,1.19,0.44,3,M2d|P8a|M2d|M2d|M2d|M2d|P8a|M2d,A3 G3 G4 F4 D#4 C#4 B3 B4 A4
3,6,0.85,0.875,0.875,6.50,5.78,7.00,mastery,0,8,2,0.43,1.18,0.38,4,P8a|M2d|M2d|M2d|M2d|P8a|M2d,G3 G4 F4 D#4 C#4 B3 B4 A4
3,7,0.85,0.889,0.889,7.00,5.73,7.50,mastery,0,9,2,0.50,1.19,0.44,3,M2d|P8a|M2d|M2d|M2d|M2d|P8a|M2d,G#3 F#3 F#4 E4 D4 C4 A#3 A#4 G#4
3,8,0.85,0.714,0.833,7.50,4.87,7.50,none,0,6,1,0.40,1.20,0.67,3,M2d|P8a|M2d|M2d|M2d,B3 A3 A4 G4 F4 D#4
