session,exercise,target_precision,precision_dda,correct_fraction,idm_before,idm_actual,idm_after,trigger,consec_errors,seq_length,S_leaps,C_contour,d_bar,X_chrom,n_chunks,intervals_used,sequence_notes
1,1,0.65,0.286,0.333,2.00,2.65,1.50,overload,0,3,0,0.00,1.25,0.00,2,m2d|M2d,A3 G#3 F#3
1,2,0.65,0.600,0.750,1.50,2.82,1.50,none,1,4,0,0.33,1.08,0.00,2,m2d|m2a|M2a,G#3 G3 G#3 A#3
1,3,0.65,0.500,0.667,1.50,3.02,1.50,none,1,3,0,0.50,1.13,0.00,2,M2a|M2d,G3 A3 G3
1,4,0.65,0.500,0.500,1.50,2.90,1.50,none,1,4,0,0.33,1.17,0.00,2,M2a|M2d|m2d,D4 E4 D4 C#4
1,5,0.65,1.000,1.000,1.50,3.02,1.50,none,0,3,0,0.50,1.13,0.00,2,M2a|M2d,C#4 D#4 C#4
1,6,0.65,1.000,1.000,1.50,2.65,1.50,none,0,3,0,0.00,1.25,0.00,2,m2d|M2d,A#3 A3 G3
1,7,0.65,1.000,1.000,1.50,3.02,2.00,mastery,0,3,0,0.50,1.13,0.00,2,M2a|M2d,D#4 F4 D#4
1,8,0.65,0.500,0.667,2.00,3.36,2.00,none,0,3,0,0.50,1.13,0.33,2,M2d|m2a,A3 G3 G#3
2,1,0.65,1.000,1.000,2.00,3.02,2.00,none,0,3,0,0.50,1.13,0.00,2,M2a|M2d,C#4 D#4 C#4
2,2,0.65,0.667,0.667,2.00,3.02,2.00,none,0,3,0,0.50,1.13,0.00,2,M2a|M2d,A3 B3 A3
2,3,0.65,0.667,0.667,2.00,2.40,2.00,none,1,3,0,0.00,1.00,0.00,2,M2a|M2a,C#4 D#4 F4
2,4,0.65,0.667,0.667,2.00,3.02,2.00,none,0,3,0,0.50,1.13,0.00,2,M2a|M2d,C4 D4 C4
2,5,0.65,0.667,0.667,2.00,2.40,2.00,none,1,3,0,0.00,1.00,0.00,2,M2a|M2a,E4 F#4 G#4
2,6,0.65,0.667,0.667,2.00,3.02,2.00,none,1,3,0,0.50,1.13,0.00,2,M2a|M2d,D4 E4 D4
2,7,0.65,0.667,0.667,2.00,3.02,2.00,none,0,3,0,0.50,1.13,0.00,2,M2a|M2d,B3 C#4 B3
2,8,0.65,0.500,0.667,2.00,3.02,2.00,none,0,3,0,0.50,1.13,0.00,2,M2a|M2d,A#3 C4 A#3
3,1,0.65,1.000,1.000,2.00,3.32,2.00,none,0,3,0,0.00,1.25,0.67,2,M2d|M2d,C4 A#3 G#3
3,2,0.65,0.500,0.667,2.00,3.32,2.00,none,0,3,0,0.00,1.25,0.67,2,M2d|M2d,E4 D4 C4
3,3,0.65,1.000,1.000,2.00,3.32,2.00,none,0,3,0,0.00,1.25,0.67,2,M2d|M2d,C4 A#3 G#3
3,4,0.65,0.250,0.333,2.00,3.32,1.50,overload,0,3,0,0.00,1.25,0.67,2,M2d|M2d,C4 A#3 G#3
3,5,0.65,0.200,0.333,1.50,3.32,1.00,overload,1,3,0,0.00,1.25,0.67,2,M2d|M2d,G3 F3 D#3
3,6,0.65,0.200,0.333,1.00,3.32,1.00,overload,0,3,0,0.00,1.25,0.67,2,M2d|M2d,A3 G3 F3
3,7,0.65,1.000,1.000,1.00,3.32,1.00,none,0,3,0,0.00,1.25,0.67,2,M2d|M2d,A#3 G#3 F#3
3,8,0.65,1.000,1.000,1.00,3.32,1.00,none,0,3,0,0.00,1.25,0.67,2,M2d|M2d,G3 F3 D#3
