session,exercise,target_precision,precision_dda,correct_fraction,idm_before,idm_actual,idm_after,trigger,consec_errors,seq_length,S_leaps,C_contour,d_bar,X_chrom,n_chunks,intervals_used,sequence_notes
1,1,0.50,0.000,0.000,2.00,2.65,1.50,overload,3,3,0,0.00,1.25,0.00,2,m2d|M2d,A3 G#3 F#3
1,2,0.50,0.333,0.333,1.50,3.07,1.00,overload,0,3,0,0.00,1.00,0.67,2,m2a|M2a,D4 D#4 F4
1,3,0.50,0.500,0.667,1.00,3.02,1.00,none,0,3,0,0.50,1.13,0.00,2,M2a|M2d,G3 A3 G3
1,4,0.50,0.600,0.750,1.00,2.90,1.00,none,1,4,0,0.33,1.17,0.00,2,M2a|M2d|m2d,D4 E4 D4 C#4
1,5,0.50,0.500,0.667,1.00,3.02,1.00,none,1,3,0,0.50,1.13,0.00,2,m2d|m2a,D4 C#4 D4
1,6,0.50,0.200,0.333,1.00,3.02,1.00,overload,1,3,0,0.50,1.13,0.00,2,M2a|M2d,A#3 C4 A#3
1,7,0.50,0.500,0.667,1.00,3.02,1.00,none,0,3,0,0.50,1.13,0.00,2,m2d|m2a,A3 G#3 A3
1,8,0.50,1.000,1.000,1.00,2.65,1.00,none,0,3,0,0.00,1.25,0.00,2,m2d|M2d,C4 B3 A3
2,1,0.80,1.000,1.000,1.00,3.02,1.00,none,0,3,0,0.50,1.13,0.00,2,M2a|M2d,E4 F#4 E4
2,2,0.80,0.600,0.750,1.00,2.82,1.00,none,1,4,0,0.33,1.08,0.00,2,M2a|M2a|M2d,E4 F#4 G#4 F#4
2,3,0.80,1.000,1.000,1.00,2.40,1.00,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,C#4 D#4 F4
2,4,0.80,0.333,0.333,1.00,3.02,1.00,overload,0,3,0,0.50,1.13,0.00,2,M2a|M2d,G#3 A#3 G#3
2,5,0.80,1.000,1.000,1.00,3.02,1.00,none,0,3,0,0.50,1.13,0.00,2,M2a|M2d,A#3 C4 A#3
2,6,0.80,1.000,1.000,1.00,2.40,1.00,none,0,3,0,0.00,1.00,0.00,2,M2a|M2a,B3 C#4 D#4
2,7,0.80,1.000,1.000,1.00,3.02,1.50,mastery,0,3,0,0.50,1.13,0.00,2,M2a|M2d,A#3 C4 A#3
2,8,0.80,1.000,1.000,1.50,3.02,2.00,mastery,0,3,0,0.50,1.13,0.00,2,M2a|M2d,G3 A3 G3
3,1,0.50,0.200,0.333,2.00,3.02,1.50,overload,0,3,0,0.50,1.13,0.00,2,m2d|m2a,A3 G#3 A3
3,2,0.50,0.200,0.333,1.50,3.02,1.00,overload,2,3,0,0.50,1.13,0.00,2,m2d|m2a,E4 D#4 E4
3,3,0.50,1.000,1.000,1.00,3.02,1.00,none,0,3,0,0.50,1.13,0.00,2,m2d|m2a,A3 G#3 A3
3,4,0.50,1.000,1.000,1.00,3.02,1.00,none,0,3,0,0.50,1.13,0.00,2,m2d|m2a,A3 G#3 A3
3,5,0.50,1.000,1.000,1.00,3.02,1.50,mastery,0,3,0,0.50,1.13,0.00,2,m2d|m2a,C4 B3 C4
3,6,0.50,1.000,1.000,1.50,3.02,2.00,mastery,0,3,0,0.50,1.13,0.00,2,m2d|m2a,G#3 G3 G#3
3,7,0.50,0.667,0.667,2.00,3.02,2.00,none,0,3,0,0.50,1.13,0.00,2,m2d|m2a,B3 A#3 B3
3,8,0.50,1.000,1.000,2.00,3.02,2.00,none,0,3,0,0.50,1.13,0.00,2,m2d|m2a,C4 B3 C4
